Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
79;Lebanon;16275;;155;;4484;11636;91;2386;23;511468;74992;6820309
80;Bulgaria;16164;;605;;11253;4306;61;2329;87;403213;58103;6939586
81;Madagascar;14791;;190;;13753;848;49;532;7;57254;2059;27800589
82;North Macedonia;14293;;596;;11014;2683;3;6861;286;147002;7056;2083360
83;Senegal;13456;;282;;9233;3941;42;800;17;143852;8557;16811700
84;Sudan;13189;;823;;6612;5754;;300;19;401;9;44008044
85;Libya;12958;;231;;1333;11394;;1882;34;10385;15081;6886226
86;Zambia;11902;;284;;11092;526;;645;15;113355;614;18462608
87;Norway;10611;;264;;9348;999;1;1955;49;686202;126416;5428131
88;Croatia;10123;262;184;1;7212;2727;13;2468;45;166638;40634;4100994
89;DRC;10007;;258;;9068;681;;111;3;;;89974062
90;Greece;9977;;260;;3804;5913;36;958;25;931002;89395;10414489
91;Malaysia;9334;17;126;1;9048;160;7;288;4;1232927;38015;32432431
92;Albania;9279;;275;;502;3984;19;3225;96;56815;19746;2877274
93;Guinea;9251;;59;;8282;910;24;702;4;23588;1789;13187372
94;French Guiana;9076;;58;;862;398;13;30266;193;52668;175634;299873
95;Tajikistan;8516;;68;;7309;1139;;890;7;;;9570963
96;Gabon;8505;;53;;7187;1265;2;3807;24;116252;52041;2233873
97;Haiti;8174;;201;;5743;223;;715;18;23322;2041;11424837
98;Finland;8077;28;335;;72;542;1;1457;60;637159;114966;5542144
99;Maldives;7578;;28;;4925;2625;12;1398;52;110249;203394;542047
100;Namibia;7116;;69;;2817;423;16;2793;27;5861;23001;2548160
101;Mauritania;7012;;158;;6407;447;3;1502;34;69937;14981;4668434
102;Luxembourg;6625;;124;;714;-639;2;10556;198;633773;1009847;627593
103;Zimbabwe;6406;;196;;5056;1154;;430;13;149748;10052;14897405
104;Hungary;5961;292;614;;3759;1588;7;617;64;42427;43937;9656250
105;Malawi;5528;;174;;3143;2211;4;288;9;44296;2306;19206005
106;Djibouti;5385;;60;;5314;11;;5438;61;66859;67515;99029
107;Equatorial Guinea;4941;;83;;3884;974;1;3504;59;51944;36842;1409913
108;Hong Kong;4802;15;88;2;432;394;23;640;12;780415;10396;7506859
109;Montenegro;4727;;93;;3839;795;;7526;148;4803;76471;628079
110;CAR;47;;61;;1784;2855;2;970;13;31042;641;4843035
111;Eswatini;451;;91;;3359;106;11;3881;78;30007;25821;1162102
112;Nicaragua;4494;;137;;2913;1444;;677;21;;;6637214
113;Congo;3979;;78;;1742;2159;;718;14;;;5539067
114;Suriname;3954;;67;;2991;896;24;673;114;8309;14143;587484
115;Cuba;3925;;94;;3273;558;5;347;8;388194;34276;11325466
116;Rwanda;3843;;16;;1904;1923;;296;1;3994;30719;13001784
117;Slovakia;3842;;33;;2254;1555;11;704;6;332393;60877;5460081
118;Cabo Verde;3778;;39;;2855;884;;6783;70;76576;137489;55696
119;Mozambique;376;;22;;2078;166;;120;0.7;92998;2963;31389204
120;Tunisia;3572;;76;;1536;196;15;302;6;139527;11786;11838567
121;Thailand;3411;;58;;3252;101;1;49;0.8;749213;10729;69828870
122;Somalia;331;;97;;2481;732;;207;6;;;15960984
123;Mayotte;3301;;40;;2964;297;1;12055;146;13;47474;273833
124;Sri Lanka;2998;3;12;;286;126;;140;0.6;219162;10228;21427991
